trace_id,root_run_id,run_id,parent_run_id,name,Run Type,status,Start Time,End Time,latency_seconds
25e00a4a-fcc9-412e-b208-761d5cab3674,25e00a4a-fcc9-412e-b208-761d5cab3674,25e00a4a-fcc9-412e-b208-761d5cab3674,,LangGraph,chain,pending,2026-05-21T04:58:19.620664,,
25e00a4a-fcc9-412e-b208-761d5cab3674,25e00a4a-fcc9-412e-b208-761d5cab3674,4e752f04-2b74-4eec-a1ad-c45c784043d7,25e00a4a-fcc9-412e-b208-761d5cab3674,fetch_url,chain,pending,2026-05-21T04:58:19.652742,,
25e00a4a-fcc9-412e-b208-761d5cab3674,25e00a4a-fcc9-412e-b208-761d5cab3674,47166f8d-ada9-4d68-a244-974bf93ed98b,25e00a4a-fcc9-412e-b208-761d5cab3674,web_search,chain,success,2026-05-21T04:58:19.652172,2026-05-21T04:58:19.652504,0.000332
6c928201-b2b2-41b2-b3b1-6154d703634e,6c928201-b2b2-41b2-b3b1-6154d703634e,6c928201-b2b2-41b2-b3b1-6154d703634e,,LangGraph,chain,pending,2026-05-21T04:58:19.620112,,
6c928201-b2b2-41b2-b3b1-6154d703634e,6c928201-b2b2-41b2-b3b1-6154d703634e,352820e9-7795-4fe1-9ed2-f3bb645a3577,e28e6629-847a-472f-ad00-64f33668e064,vllm_completion,llm,pending,2026-05-21T04:58:20.762583,,
6c928201-b2b2-41b2-b3b1-6154d703634e,6c928201-b2b2-41b2-b3b1-6154d703634e,e28e6629-847a-472f-ad00-64f33668e064,6c928201-b2b2-41b2-b3b1-6154d703634e,final_answer,chain,pending,2026-05-21T04:58:20.755642,,
6c928201-b2b2-41b2-b3b1-6154d703634e,6c928201-b2b2-41b2-b3b1-6154d703634e,4ef734c5-e263-4194-ac2d-1652e0172a2f,6c928201-b2b2-41b2-b3b1-6154d703634e,summarize,chain,success,2026-05-21T04:58:20.336769,2026-05-21T04:58:20.753910,0.417141
6c928201-b2b2-41b2-b3b1-6154d703634e,6c928201-b2b2-41b2-b3b1-6154d703634e,71460ccc-4b76-40b8-81ef-f0da093d0484,6c928201-b2b2-41b2-b3b1-6154d703634e,fetch_url,chain,success,2026-05-21T04:58:19.648032,2026-05-21T04:58:20.333996,0.685964
6c928201-b2b2-41b2-b3b1-6154d703634e,6c928201-b2b2-41b2-b3b1-6154d703634e,cbf16bf8-ddbe-4377-b1c9-1279245ae291,6c928201-b2b2-41b2-b3b1-6154d703634e,web_search,chain,success,2026-05-21T04:58:19.647331,2026-05-21T04:58:19.647771,0.00044
aa582ab6-f3e6-462c-9b79-bf5ef29a9290,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,,LangGraph,chain,pending,2026-05-21T04:58:19.619746,,
aa582ab6-f3e6-462c-9b79-bf5ef29a9290,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,23aba696-fa6d-41a6-8839-95fdca2d1b9f,31bcbdce-35bf-421b-975c-98eb6e21009b,vllm_completion,llm,pending,2026-05-21T04:58:20.960551,,
aa582ab6-f3e6-462c-9b79-bf5ef29a9290,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,31bcbdce-35bf-421b-975c-98eb6e21009b,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,final_answer,chain,pending,2026-05-21T04:58:20.959630,,
aa582ab6-f3e6-462c-9b79-bf5ef29a9290,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,e5a4c5f2-d66f-4b13-98f2-f31c0cb4c3d1,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,summarize,chain,success,2026-05-21T04:58:20.517064,2026-05-21T04:58:20.958750,0.441686
aa582ab6-f3e6-462c-9b79-bf5ef29a9290,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,3db402fd-d9e1-47ef-bb13-94ebb8e9a851,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,fetch_url,chain,success,2026-05-21T04:58:19.650454,2026-05-21T04:58:20.515184,0.86473
aa582ab6-f3e6-462c-9b79-bf5ef29a9290,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,f4d28e5c-f415-445d-a445-4a0ab3ce038c,aa582ab6-f3e6-462c-9b79-bf5ef29a9290,web_search,chain,success,2026-05-21T04:58:19.649666,2026-05-21T04:58:19.650191,0.000525
4d4eccc4-f0e4-4aad-862a-6837550ebae2,4d4eccc4-f0e4-4aad-862a-6837550ebae2,4d4eccc4-f0e4-4aad-862a-6837550ebae2,,LangGraph,chain,pending,2026-05-21T04:58:19.619403,,
4d4eccc4-f0e4-4aad-862a-6837550ebae2,4d4eccc4-f0e4-4aad-862a-6837550ebae2,9ff2ef6c-4ac7-441c-bfa9-ba876f093995,705dc673-a6bb-44b5-ac71-3a468c6f1a05,vllm_completion,llm,success,2026-05-21T04:58:20.835407,2026-05-21T04:58:23.183041,2.347634
4d4eccc4-f0e4-4aad-862a-6837550ebae2,4d4eccc4-f0e4-4aad-862a-6837550ebae2,705dc673-a6bb-44b5-ac71-3a468c6f1a05,4d4eccc4-f0e4-4aad-862a-6837550ebae2,final_answer,chain,success,2026-05-21T04:58:20.834547,2026-05-21T04:58:23.183865,2.349318
4d4eccc4-f0e4-4aad-862a-6837550ebae2,4d4eccc4-f0e4-4aad-862a-6837550ebae2,0cc111a9-5502-435c-8de9-07f370b5927b,4d4eccc4-f0e4-4aad-862a-6837550ebae2,summarize,chain,success,2026-05-21T04:58:20.406085,2026-05-21T04:58:20.833799,0.427714
4d4eccc4-f0e4-4aad-862a-6837550ebae2,4d4eccc4-f0e4-4aad-862a-6837550ebae2,8967d135-a643-4e96-b590-fb856e5cbef7,4d4eccc4-f0e4-4aad-862a-6837550ebae2,fetch_url,chain,success,2026-05-21T04:58:19.645236,2026-05-21T04:58:20.403760,0.758524
4d4eccc4-f0e4-4aad-862a-6837550ebae2,4d4eccc4-f0e4-4aad-862a-6837550ebae2,4e39ae48-3168-4889-9ccf-54b6a654847e,4d4eccc4-f0e4-4aad-862a-6837550ebae2,web_search,chain,success,2026-05-21T04:58:19.644073,2026-05-21T04:58:19.644766,0.000693
